category,job
"Arts, Design, Entertainment, Sports, and Media Occupations",Multimedia Artists and Animators
"Arts, Design, Entertainment, Sports, and Media Occupations",Music Composers and Arrangers
"Arts, Design, Entertainment, Sports, and Media Occupations",Music Directors
"Arts, Design, Entertainment, Sports, and Media Occupations",Music Directors and Composers
"Arts, Design, Entertainment, Sports, and Media Occupations",Musicians and Singers
"Arts, Design, Entertainment, Sports, and Media Occupations","Musicians, Instrumental"
"Arts, Design, Entertainment, Sports, and Media Occupations",Photographers
"Arts, Design, Entertainment, Sports, and Media Occupations","Poets, Lyricists and Creative Writers"
"Arts, Design, Entertainment, Sports, and Media Occupations",Producers
"Arts, Design, Entertainment, Sports, and Media Occupations",Producers and Directors
"Arts, Design, Entertainment, Sports, and Media Occupations",Program Directors
"Arts, Design, Entertainment, Sports, and Media Occupations",Public Address System and Other Announcers
"Arts, Design, Entertainment, Sports, and Media Occupations",Public Relations Specialists
"Arts, Design, Entertainment, Sports, and Media Occupations",Radio and Television Announcers
"Arts, Design, Entertainment, Sports, and Media Occupations",Radio Operators
"Arts, Design, Entertainment, Sports, and Media Occupations",Reporters and Correspondents
"Arts, Design, Entertainment, Sports, and Media Occupations",Set and Exhibit Designers
"Arts, Design, Entertainment, Sports, and Media Occupations",Singers
"Arts, Design, Entertainment, Sports, and Media Occupations",Sound Engineering Technicians
"Arts, Design, Entertainment, Sports, and Media Occupations",Talent Directors
"Arts, Design, Entertainment, Sports, and Media Occupations",Technical Directors/Managers
"Arts, Design, Entertainment, Sports, and Media Occupations",Technical Writers
"Arts, Design, Entertainment, Sports, and Media Occupations","Umpires, Referees, and Other Sports Officials"
"Arts, Design, Entertainment, Sports, and Media Occupations",Writers and Authors
Building and Grounds Cleaning and Maintenance Occupations,"Building Cleaning Workers, All Other"
Building and Grounds Cleaning and Maintenance Occupations,First-Line Supervisors of Housekeeping and Janitorial Workers
Building and Grounds Cleaning and Maintenance Occupations,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Building and Grounds Cleaning and Maintenance Occupations,"Grounds Maintenance Workers, All Other"
Building and Grounds Cleaning and Maintenance Occupations,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Building and Grounds Cleaning and Maintenance Occupations,Landscaping and Groundskeeping Workers
Building and Grounds Cleaning and Maintenance Occupations,Maids and Housekeeping Cleaners
Building and Grounds Cleaning and Maintenance Occupations,Pest Control Workers
Building and Grounds Cleaning and Maintenance Occupations,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
Building and Grounds Cleaning and Maintenance Occupations,Tree Trimmers and Pruners
Business and Financial Operations Occupations,Accountants
Business and Financial Operations Occupations,Accountants and Auditors
Business and Financial Operations Occupations,"Agents and Business Managers of Artists, Performers, and Athletes"
Business and Financial Operations Occupations,Appraisers and Assessors of Real Estate
Business and Financial Operations Occupations,"Appraisers, Real Estate"
Business and Financial Operations Occupations,Assessors
Business and Financial Operations Occupations,Auditors
Business and Financial Operations Occupations,Budget Analysts
Business and Financial Operations Occupations,Business Continuity Planners
Business and Financial Operations Occupations,"Business Operations Specialists, All Other"
Business and Financial Operations Occupations,"Buyers and Purchasing Agents, Farm Products"
Business and Financial Operations Occupations,"Claims Adjusters, Examiners, and Investigators"
Business and Financial Operations Occupations,"Claims Examiners, Property and Casualty Insurance"
Business and Financial Operations Occupations,"Compensation, Benefits, and Job Analysis Specialists"
Business and Financial Operations Occupations,Compliance Officers
Business and Financial Operations Occupations,Coroners
Business and Financial Operations Occupations,Cost Estimators
Business and Financial Operations Occupations,Credit Analysts
Business and Financial Operations Occupations,Credit Counselors
Business and Financial Operations Occupations,Customs Brokers
Business and Financial Operations Occupations,Energy Auditors
Business and Financial Operations Occupations,Environmental Compliance Inspectors
Business and Financial Operations Occupations,Equal Opportunity Representatives and Officers
Business and Financial Operations Occupations,Farm Labor Contractors
Business and Financial Operations Occupations,Financial Analysts
Business and Financial Operations Occupations,Financial Examiners
Business and Financial Operations Occupations,Financial Quantitative Analysts
Business and Financial Operations Occupations,"Financial Specialists, All Other"
Business and Financial Operations Occupations,"Fraud Examiners, Investigators and Analysts"
Business and Financial Operations Occupations,Fundraisers
Business and Financial Operations Occupations,Government Property Inspectors and Investigators
Business and Financial Operations Occupations,Human Resources Specialists
Business and Financial Operations Occupations,"Insurance Adjusters, Examiners, and Investigators"
Business and Financial Operations Occupations,"Insurance Appraisers, Auto Damage"
Business and Financial Operations Occupations,Insurance Underwriters
Business and Financial Operations Occupations,Investment Underwriters
Business and Financial Operations Occupations,Labor Relations Specialists
Business and Financial Operations Occupations,Licensing Examiners and Inspectors
Business and Financial Operations Occupations,Loan Counselors
Business and Financial Operations Occupations,Loan Officers
Business and Financial Operations Occupations,Logisticians
Business and Financial Operations Occupations,Logistics Analysts
Business and Financial Operations Occupations,Logistics Engineers
Business and Financial Operations Occupations,Management Analysts
Business and Financial Operations Occupations,Market Research Analysts and Marketing Specialists
Business and Financial Operations Occupations,"Meeting, Convention, and Event Planners"
Business and Financial Operations Occupations,Online Merchants
Business and Financial Operations Occupations,Personal Financial Advisors
Business and Financial Operations Occupations,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
Business and Financial Operations Occupations,Regulatory Affairs Specialists
Business and Financial Operations Occupations,Risk Management Specialists
Business and Financial Operations Occupations,Security Management Specialists
Business and Financial Operations Occupations,Sustainability Specialists
Business and Financial Operations Occupations,"Tax Examiners and Collectors, and Revenue Agents"
Business and Financial Operations Occupations,Tax Preparers
Business and Financial Operations Occupations,Training and Development Specialists
Business and Financial Operations Occupations,"Wholesale and Retail Buyers, Except Farm Products"
Community and Social Services Occupations,"Child, Family, and School Social Workers"
Community and Social Services Occupations,Clergy
Community and Social Services Occupations,"Community and Social Service Specialists, All Other"
Community and Social Services Occupations,Community Health Workers
Community and Social Services Occupations,"Counselors, All Other"
Community and Social Services Occupations,"Directors, Religious Activities and Education"
Community and Social Services Occupations,"Educational, Guidance, School, and Vocational Counselors"
Community and Social Services Occupations,Health Educators
Community and Social Services Occupations,Healthcare Social Workers
Community and Social Services Occupations,Marriage and Family Therapists
Community and Social Services Occupations,Mental Health and Substance Abuse Social Workers
Community and Social Services Occupations,Mental Health Counselors
Community and Social Services Occupations,Probation Officers and Correctional Treatment Specialists
Community and Social Services Occupations,Rehabilitation Counselors
Community and Social Services Occupations,"Religious Workers, All Other"
Community and Social Services Occupations,Social and Human Service Assistants
Community and Social Services Occupations,"Social Workers, All Other"
Community and Social Services Occupations,Substance Abuse and Behavioral Disorder Counselors
Computer and Mathematical Occupations,Actuaries
Computer and Mathematical Occupations,Biostatisticians
Computer and Mathematical Occupations,Business Intelligence Analysts
Computer and Mathematical Occupations,Clinical Data Managers
Computer and Mathematical Occupations,Computer and Information Research Scientists
Computer and Mathematical Occupations,Computer Network Architects
Computer and Mathematical Occupations,Computer Network Support Specialists
Computer and Mathematical Occupations,"Computer Occupations, All Other"
Computer and Mathematical Occupations,Computer Programmers
Computer and Mathematical Occupations,Computer Systems Analysts
Computer and Mathematical Occupations,Computer Systems Engineers/Architects
Computer and Mathematical Occupations,Computer User Support Specialists
Computer and Mathematical Occupations,Data Warehousing Specialists
Computer and Mathematical Occupations,Database Administrators
Computer and Mathematical Occupations,Database Architects
Computer and Mathematical Occupations,Document Management Specialists
Computer and Mathematical Occupations,Geographic Information Systems Technicians
Computer and Mathematical Occupations,Geospatial Information Scientists and Technologists
Computer and Mathematical Occupations,Informatics Nurse Specialists
Computer and Mathematical Occupations,Information Security Analysts
Computer and Mathematical Occupations,Information Technology Project Managers
Computer and Mathematical Occupations,"Mathematical Science Occupations, All Other"
Computer and Mathematical Occupations,Mathematical Technicians
Computer and Mathematical Occupations,Mathematicians
Computer and Mathematical Occupations,Network and Computer Systems Administrators
Computer and Mathematical Occupations,Operations Research Analysts
Computer and Mathematical Occupations,Search Marketing Strategists
Computer and Mathematical Occupations,"Software Developers, Applications"
Computer and Mathematical Occupations,"Software Developers, Systems Software"
Computer and Mathematical Occupations,Software Quality Assurance Engineers and Testers
Computer and Mathematical Occupations,Statisticians
Computer and Mathematical Occupations,Telecommunications Engineering Specialists
Computer and Mathematical Occupations,Video Game Designers
Computer and Mathematical Occupations,Web Administrators
Computer and Mathematical Occupations,Web Developers
Construction and Extraction Occupations,Boilermakers
Construction and Extraction Occupations,Brickmasons and Blockmasons
Construction and Extraction Occupations,Carpenters
Construction and Extraction Occupations,Carpet Installers
Construction and Extraction Occupations,Cement Masons and Concrete Finishers
Construction and Extraction Occupations,Construction and Building Inspectors
Construction and Extraction Occupations,"Construction and Related Workers, All Other"
Construction and Extraction Occupations,Construction Carpenters
Construction and Extraction Occupations,Construction Laborers
Construction and Extraction Occupations,Continuous Mining Machine Operators
Construction and Extraction Occupations,"Derrick Operators, Oil and Gas"
Construction and Extraction Occupations,Drywall and Ceiling Tile Installers
Construction and Extraction Occupations,"Earth Drillers, Except Oil and Gas"
Construction and Extraction Occupations,Electricians
Construction and Extraction Occupations,Elevator Installers and Repairers
Construction and Extraction Occupations,"Explosives Workers, Ordnance Handling Experts, and Blasters"
Construction and Extraction Occupations,"Extraction Workers, All Other"
Construction and Extraction Occupations,Fence Erectors
Construction and Extraction Occupations,First-Line Supervisors of Construction Trades and Extraction Workers
Construction and Extraction Occupations,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Construction and Extraction Occupations,Floor Sanders and Finishers
Construction and Extraction Occupations,Glaziers
Construction and Extraction Occupations,Hazardous Materials Removal Workers
Construction and Extraction Occupations,"Helpers, Construction Trades, All Other"
Construction and Extraction Occupations,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Construction and Extraction Occupations,Helpers--Carpenters
Construction and Extraction Occupations,Helpers--Electricians
Construction and Extraction Occupations,Helpers--Extraction Workers
Construction and Extraction Occupations,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Construction and Extraction Occupations,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
Construction and Extraction Occupations,Helpers--Roofers
Construction and Extraction Occupations,Highway Maintenance Workers
Construction and Extraction Occupations,"Insulation Workers, Floor, Ceiling, and Wall"
Construction and Extraction Occupations,"Insulation Workers, Mechanical"
Construction and Extraction Occupations,Mine Cutting and Channeling Machine Operators
Construction and Extraction Occupations,"Mining Machine Operators, All Other"
Construction and Extraction Occupations,Operating Engineers and Other Construction Equipment Operators
Construction and Extraction Occupations,"Painters, Construction and Maintenance"
Construction and Extraction Occupations,Paperhangers
Construction and Extraction Occupations,"Paving, Surfacing, and Tamping Equipment Operators"
Construction and Extraction Occupations,Pile-Driver Operators
Construction and Extraction Occupations,Pipe Fitters and Steamfitters
Construction and Extraction Occupations,Pipelayers
Construction and Extraction Occupations,Plasterers and Stucco Masons
Construction and Extraction Occupations,Plumbers
Construction and Extraction Occupations,"Plumbers, Pipefitters, and Steamfitters"
Construction and Extraction Occupations,Rail-Track Laying and Maintenance Equipment Operators
Construction and Extraction Occupations,Reinforcing Iron and Rebar Workers
Construction and Extraction Occupations,"Rock Splitters, Quarry"
Construction and Extraction Occupations,"Roof Bolters, Mining"
Construction and Extraction Occupations,Roofers
Construction and Extraction Occupations,"Rotary Drill Operators, Oil and Gas"
Construction and Extraction Occupations,Rough Carpenters
Construction and Extraction Occupations,"Roustabouts, Oil and Gas"
Construction and Extraction Occupations,Segmental Pavers
Construction and Extraction Occupations,Septic Tank Servicers and Sewer Pipe Cleaners
Construction and Extraction Occupations,"Service Unit Operators, Oil, Gas, and Mining"
Construction and Extraction Occupations,Sheet Metal Workers
Construction and Extraction Occupations,Solar Energy Installation Managers
Construction and Extraction Occupations,Solar Photovoltaic Installers
Construction and Extraction Occupations,Solar Thermal Installers and Technicians
Construction and Extraction Occupations,Stonemasons
Construction and Extraction Occupations,Structural Iron and Steel Workers
Construction and Extraction Occupations,Tapers
Construction and Extraction Occupations,Terrazzo Workers and Finishers
Construction and Extraction Occupations,Tile and Marble Setters
Construction and Extraction Occupations,Weatherization Installers and Technicians
"Education, Training, and Library Occupations",Adapted Physical Education Specialists
"Education, Training, and Library Occupations",Adult Basic and Secondary Education and Literacy Teachers and Instructors
"Education, Training, and Library Occupations","Agricultural Sciences Teachers, Postsecondary"
"Education, Training, and Library Occupations","Anthropology and Archeology Teachers, Postsecondary"
"Education, Training, and Library Occupations","Architecture Teachers, Postsecondary"
"Education, Training, and Library Occupations",Archivists
"Education, Training, and Library Occupations","Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
"Education, Training, and Library Occupations","Art, Drama, and Music Teachers, Postsecondary"
"Education, Training, and Library Occupations","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
"Education, Training, and Library Occupations",Audio-Visual and Multimedia Collections Specialists
"Education, Training, and Library Occupations","Biological Science Teachers, Postsecondary"
"Education, Training, and Library Occupations","Business Teachers, Postsecondary"
"Education, Training, and Library Occupations","Career/Technical Education Teachers, Middle School"
"Education, Training, and Library Occupations","Career/Technical Education Teachers, Secondary School"
"Education, Training, and Library Occupations","Chemistry Teachers, Postsecondary"
"Education, Training, and Library Occupations","Communications Teachers, Postsecondary"
"Education, Training, and Library Occupations","Computer Science Teachers, Postsecondary"
"Education, Training, and Library Occupations","Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Education, Training, and Library Occupations",Curators
"Education, Training, and Library Occupations","Economics Teachers, Postsecondary"
"Education, Training, and Library Occupations","Education Teachers, Postsecondary"
"Education, Training, and Library Occupations","Education, Training, and Library Workers, All Other"
"Education, Training, and Library Occupations","Elementary School Teachers, Except Special Education"
"Education, Training, and Library Occupations","Engineering Teachers, Postsecondary"
"Education, Training, and Library Occupations","English Language and Literature Teachers, Postsecondary"
"Education, Training, and Library Occupations","Environmental Science Teachers, Postsecondary"
"Education, Training, and Library Occupations",Farm and Home Management Advisors
"Education, Training, and Library Occupations","Foreign Language and Literature Teachers, Postsecondary"
"Education, Training, and Library Occupations","Forestry and Conservation Science Teachers, Postsecondary"
"Education, Training, and Library Occupations","Geography Teachers, Postsecondary"
"Education, Training, and Library Occupations",Graduate Teaching Assistants
"Education, Training, and Library Occupations","Health Specialties Teachers, Postsecondary"
"Education, Training, and Library Occupations","History Teachers, Postsecondary"
"Education, Training, and Library Occupations","Home Economics Teachers, Postsecondary"
"Education, Training, and Library Occupations",Instructional Coordinators
"Education, Training, and Library Occupations",Instructional Designers and Technologists
"Education, Training, and Library Occupations","Kindergarten Teachers, Except Special Education"
"Education, Training, and Library Occupations","Law Teachers, Postsecondary"
"Education, Training, and Library Occupations",Librarians
"Education, Training, and Library Occupations","Library Science Teachers, Postsecondary"
"Education, Training, and Library Occupations",Library Technicians
"Education, Training, and Library Occupations","Mathematical Science Teachers, Postsecondary"
"Education, Training, and Library Occupations","Middle School Teachers, Except Special and Career/Technical Education"
"Education, Training, and Library Occupations",Museum Technicians and Conservators
"Education, Training, and Library Occupations","Nursing Instructors and Teachers, Postsecondary"
"Education, Training, and Library Occupations","Philosophy and Religion Teachers, Postsecondary"
"Education, Training, and Library Occupations","Physics Teachers, Postsecondary"
"Education, Training, and Library Occupations","Political Science Teachers, Postsecondary"
"Education, Training, and Library Occupations","Postsecondary Teachers, All Other"
"Education, Training, and Library Occupations","Preschool Teachers, Except Special Education"
"Education, Training, and Library Occupations","Psychology Teachers, Postsecondary"
"Education, Training, and Library Occupations","Recreation and Fitness Studies Teachers, Postsecondary"
"Education, Training, and Library Occupations","Secondary School Teachers, Except Special and Career/Technical Education"
"Education, Training, and Library Occupations",Self-Enrichment Education Teachers
"Education, Training, and Library Occupations","Social Sciences Teachers, Postsecondary, All Other"
"Education, Training, and Library Occupations","Social Work Teachers, Postsecondary"
"Education, Training, and Library Occupations","Sociology Teachers, Postsecondary"
"Education, Training, and Library Occupations","Special Education Teachers, All Other"
"Education, Training, and Library Occupations","Special Education Teachers, Kindergarten and Elementary School"
"Education, Training, and Library Occupations","Special Education Teachers, Middle School"
"Education, Training, and Library Occupations","Special Education Teachers, Preschool"
"Education, Training, and Library Occupations","Special Education Teachers, Secondary School"
"Education, Training, and Library Occupations",Teacher Assistants
"Education, Training, and Library Occupations","Teachers and Instructors, All Other"
"Education, Training, and Library Occupations",Tutors
"Education, Training, and Library Occupations","Vocational Education Teachers, Postsecondary"
"Farming, Fishing, and Forestry Occupations",Agricultural Equipment Operators
"Farming, Fishing, and Forestry Occupations",Agricultural Inspectors
"Farming, Fishing, and Forestry Occupations","Agricultural Workers, All Other"
"Farming, Fishing, and Forestry Occupations",Animal Breeders
"Farming, Fishing, and Forestry Occupations",Fallers
"Farming, Fishing, and Forestry Occupations","Farmworkers and Laborers, Crop"
"Farming, Fishing, and Forestry Occupations","Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
"Farming, Fishing, and Forestry Occupations","Farmworkers, Farm, Ranch, and Aquacultural Animals"
"Farming, Fishing, and Forestry Occupations",First-Line Supervisors of Agricultural Crop and Horticultural Workers
"Farming, Fishing, and Forestry Occupations",First-Line Supervisors of Animal Husbandry and Animal Care Workers
"Farming, Fishing, and Forestry Occupations",First-Line Supervisors of Aquacultural Workers
"Farming, Fishing, and Forestry Occupations","First-Line Supervisors of Farming, Fishing, and Forestry Workers"
"Farming, Fishing, and Forestry Occupations",First-Line Supervisors of Logging Workers
"Farming, Fishing, and Forestry Occupations",Fishers and Related Fishing Workers
"Farming, Fishing, and Forestry Occupations",Forest and Conservation Workers
"Farming, Fishing, and Forestry Occupations","Graders and Sorters, Agricultural Products"
"Farming, Fishing, and Forestry Occupations",Hunters and Trappers
"Farming, Fishing, and Forestry Occupations",Log Graders and Scalers
"Farming, Fishing, and Forestry Occupations",Logging Equipment Operators
"Farming, Fishing, and Forestry Occupations","Logging Workers, All Other"
"Farming, Fishing, and Forestry Occupations",Nursery Workers
Food Preparation and Serving Related Occupations,Baristas
Food Preparation and Serving Related Occupations,Bartenders
Food Preparation and Serving Related Occupations,Chefs and Head Cooks
Food Preparation and Serving Related Occupations,"Combined Food Preparation and Serving Workers, Including Fast Food"
Food Preparation and Serving Related Occupations,"Cooks, All Other"
Food Preparation and Serving Related Occupations,"Cooks, Fast Food"
Food Preparation and Serving Related Occupations,"Cooks, Institution and Cafeteria"
Food Preparation and Serving Related Occupations,"Cooks, Private Household"
Food Preparation and Serving Related Occupations,"Cooks, Restaurant"
Food Preparation and Serving Related Occupations,"Cooks, Short Order"
Food Preparation and Serving Related Occupations,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
Food Preparation and Serving Related Occupations,Dining Room and Cafeteria Attendants and Bartender Helpers
Food Preparation and Serving Related Occupations,Dishwashers
Food Preparation and Serving Related Occupations,First-Line Supervisors of Food Preparation and Serving Workers
Food Preparation and Serving Related Occupations,"Food Preparation and Serving Related Workers, All Other"
Food Preparation and Serving Related Occupations,Food Preparation Workers
Food Preparation and Serving Related Occupations,"Food Servers, Nonrestaurant"
Food Preparation and Serving Related Occupations,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
Food Preparation and Serving Related Occupations,Waiters and Waitresses
Healthcare Practitioners and Technical Occupations,Acupuncturists
Healthcare Practitioners and Technical Occupations,Acute Care Nurses
Healthcare Practitioners and Technical Occupations,Advanced Practice Psychiatric Nurses
Healthcare Practitioners and Technical Occupations,Allergists and Immunologists
Healthcare Practitioners and Technical Occupations,Anesthesiologist Assistants
Healthcare Practitioners and Technical Occupations,Anesthesiologists
Healthcare Practitioners and Technical Occupations,Art Therapists
Healthcare Practitioners and Technical Occupations,Athletic Trainers
Healthcare Practitioners and Technical Occupations,Audiologists
Healthcare Practitioners and Technical Occupations,Cardiovascular Technologists and Technicians
Healthcare Practitioners and Technical Occupations,Chiropractors
Healthcare Practitioners and Technical Occupations,Clinical Nurse Specialists
Healthcare Practitioners and Technical Occupations,Critical Care Nurses
Healthcare Practitioners and Technical Occupations,Cytogenetic Technologists
Healthcare Practitioners and Technical Occupations,Cytotechnologists
Healthcare Practitioners and Technical Occupations,Dental Hygienists
Healthcare Practitioners and Technical Occupations,"Dentists, All Other Specialists"
Healthcare Practitioners and Technical Occupations,"Dentists, General"
Healthcare Practitioners and Technical Occupations,Dermatologists
Healthcare Practitioners and Technical Occupations,Diagnostic Medical Sonographers
Healthcare Practitioners and Technical Occupations,Dietetic Technicians
Healthcare Practitioners and Technical Occupations,Dietitians and Nutritionists
Healthcare Practitioners and Technical Occupations,Emergency Medical Technicians and Paramedics
Healthcare Practitioners and Technical Occupations,Exercise Physiologists
Healthcare Practitioners and Technical Occupations,Family and General Practitioners
Healthcare Practitioners and Technical Occupations,Genetic Counselors
Healthcare Practitioners and Technical Occupations,"Health Diagnosing and Treating Practitioners, All Other"
Healthcare Practitioners and Technical Occupations,"Health Technologists and Technicians, All Other"
Healthcare Practitioners and Technical Occupations,"Healthcare Practitioners and Technical Workers, All Other"
Healthcare Practitioners and Technical Occupations,Hearing Aid Specialists
Healthcare Practitioners and Technical Occupations,Histotechnologists and Histologic Technicians
Healthcare Practitioners and Technical Occupations,Hospitalists
Healthcare Practitioners and Technical Occupations,"Internists, General"
Healthcare Practitioners and Technical Occupations,Licensed Practical and Licensed Vocational Nurses
Healthcare Practitioners and Technical Occupations,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Healthcare Practitioners and Technical Occupations,Magnetic Resonance Imaging Technologists
Healthcare Practitioners and Technical Occupations,Medical and Clinical Laboratory Technicians
